ds,y
1991年1月,139
1991年2月,137
1991年3月,133
1991年4月,132
1991年5月,132
1991年6月,131
1991年7月,131
1991年8月,131
1991年9月,131
1991年10月,131
1991年11月,131
1991年12月,131
1992年1月,131
1992年2月,130
1992年3月,130
1992年4月,129
1992年5月,128
1992年6月,128
1992年7月,128
1992年8月,128
1992年9月,128
1992年10月,128
1992年11月,129
1992年12月,129
1993年1月,129
1993年2月,129
1993年3月,129
1993年4月,129
1993年5月,129
1993年6月,129
1993年7月,128
1993年8月,128
1993年9月,128
1993年10月,127
1993年11月,127
1993年12月,127
1994年1月,127
1994年2月,126
1994年3月,126
1994年4月,126
1994年5月,125
1994年6月,125
1994年7月,124
1994年8月,124
1994年9月,123
1994年10月,123
1994年11月,123
1994年12月,122
1995年1月,121
1995年2月,117
1995年3月,117
1995年4月,117
1995年5月,115
1995年6月,113
1995年7月,112
1995年8月,112
1995年9月,112
1995年10月,113
1995年11月,112
1995年12月,111
1996年1月,110
1996年2月,108
1996年3月,107
1996年4月,108
1996年5月,107
1996年6月,107
1996年7月,107
1996年8月,107
1996年9月,107
1996年10月,106
1996年11月,107
1996年12月,108
1997年1月,108
1997年2月,108
1997年3月,108
1997年4月,111
1997年5月,109
1997年6月,108
1997年7月,107
1997年8月,107
1997年9月,106
1997年10月,105
1997年11月,105
1997年12月,104
1998年1月,104
1998年2月,103
1998年3月,101
1998年4月,99
1998年5月,99
1998年6月,99
1998年7月,99
1998年8月,99
1998年9月,99
1998年10月,99
1998年11月,98
1998年12月,99
1999年1月,98
1999年2月,98
1999年3月,98
1999年4月,98
1999年5月,97
1999年6月,98
1999年7月,99
1999年8月,99
1999年9月,101
1999年10月,102
1999年11月,102
1999年12月,103
2000年1月,103
2000年2月,103
2000年3月,102
2000年4月,103
2000年5月,103
2000年6月,104
2000年7月,104
2000年8月,105
2000年9月,105
2000年10月,108
2000年11月,109
2000年12月,110
2001年1月,109
2001年2月,109
2001年3月,109
2001年4月,108
2001年5月,108
2001年6月,107
2001年7月,107
2001年8月,107
2001年9月,107
2001年10月,107
2001年11月,106
2001年12月,105
2002年1月,105
2002年2月,104
2002年3月,104
2002年4月,104
2002年5月,106
2002年6月,106
2002年7月,106
2002年8月,105
2002年9月,105
2002年10月,105
2002年11月,105
2002年12月,105
2003年1月,105
2003年2月,105
2003年3月,108
2003年4月,109
2003年5月,110
2003年6月,108
2003年7月,106
2003年8月,106
2003年9月,106
2003年10月,106
2003年11月,106
2003年12月,105
2004年1月,105
2004年2月,105
2004年3月,106
2004年4月,108
2004年5月,108
2004年6月,114
2004年7月,115
2004年8月,115
2004年9月,119
2004年10月,120
2004年11月,121
2004年12月,119
2005年1月,118
2005年2月,116
2005年3月,117
2005年4月,123
2005年5月,125
2005年6月,122
2005年7月,124
2005年8月,128
2005年9月,130
2005年10月,131
2005年11月,130
2005年12月,128
2006年1月,128
2006年2月,129
2006年3月,130
2006年4月,130
2006年5月,136
2006年6月,135
2006年7月,137
2006年8月,144
2006年9月,144
2006年10月,141
2006年11月,135
2006年12月,133
2007年1月,131
2007年2月,127
2007年3月,127
2007年4月,129
2007年5月,135
2007年6月,139
2007年7月,141
2007年8月,145
2007年9月,143
2007年10月,145
2007年11月,150
2007年12月,156
2008年1月,154
2008年2月,152
2008年3月,153
2008年4月,132
2008年5月,160
2008年6月,172
2008年7月,181
2008年8月,182
2008年9月,173
2008年10月,158
2008年11月,132
2008年12月,117
2009年1月,106
2009年2月,111
2009年3月,112
2009年4月,116
2009年5月,116
2009年6月,121
2009年7月,126
2009年8月,127
2009年9月,131
2009年10月,128
2009年11月,126
2009年12月,125
2010年1月,125
2010年2月,128
2010年3月,130
2010年4月,133
2010年5月,137
2010年6月,136
2010年7月,133
2010年8月,132
2010年9月,132
2010年10月,132
2010年11月,131
2010年12月,131
2011年1月,135
2011年2月,136
2011年3月,147
2011年4月,151
2011年5月,151
2011年6月,146
2011年7月,147
2011年8月,150
2011年9月,144
2011年10月,141
2011年11月,141
2011年12月,143
2012年1月,141
2012年2月,142
2012年3月,155
2012年4月,156
2012年5月,151
2012年6月,140
2012年7月,139
2012年8月,143
2012年9月,147
2012年10月,146
2012年11月,144
2012年12月,146
2013年1月,146
2013年2月,152
2013年3月,153
2013年4月,153
2013年5月,150
2013年6月,150
2013年7月,153
2013年8月,158
2013年9月,159
2013年10月,154
2013年11月,154
2013年12月,154
2014年1月,157
2014年2月,156
2014年3月,159
2014年4月,163
2014年5月,165
2014年6月,166
2014年7月,168
2014年8月,166
2014年9月,166
2014年10月,163
2014年11月,157
2014年12月,149
2015年1月,137
2015年2月,132
2015年3月,138
2015年4月,137
2015年5月,139
2015年6月,144
2015年7月,142
2015年8月,137
2015年9月,133
2015年10月,131
2015年11月,128
2015年12月,123
2016年1月,114
2016年2月,111
2016年3月,109
2016年4月,115
2016年5月,117
2016年6月,122
2016年7月,120
2016年8月,118
2016年9月,120
2016年10月,120
2016年11月,124
2016年12月,126
2017年1月,128
2017年2月,127
2017年3月,132
2017年4月,132
2017年5月,131
2017年6月,130
2017年7月,130
2017年8月,130
2017年9月,130
2017年10月,133
2017年11月,138
2017年12月,139
2018年1月,140
2018年2月,142
2018年3月,142
2018年4月,142
2018年5月,146
2018年6月,152
2018年7月,151
2018年8月,151
2018年9月,152
2018年10月,157
2018年11月,155
2018年12月,145
2019年1月,139
2019年2月,141
2019年3月,144
2019年4月,145
2019年5月,150
2019年6月,146
2019年7月,143
2019年8月,143
2019年9月,141
2019年10月,146
2019年11月,145
2019年12月,147
2020年1月,151
2020年2月,148
2020年3月,144
2020年4月,133
2020年5月,126
2020年6月,131
2020年7月,131
2020年8月,134
2020年9月,135
2020年10月,133
2020年11月,131
2020年12月,134
2021年1月,136
2021年2月,141
2021年3月,147
2021年4月,150
2021年5月,151
2021年6月,153
2021年7月,158
2021年8月,158
2021年9月,158
2021年10月,163
2021年11月,168
2021年12月,164
2022年1月,166
2022年2月,170
2022年3月,173
2022年4月,172
2022年5月,168
2022年6月,170
2022年7月,170
2022年8月,167
2022年9月,168
2022年10月,166
2022年11月,167
2022年12月,167
